にゃ,326,326,6598,助詞,特殊,*,*,*,*,にゃ,にゃ,ニャ
ばかし,350,350,4865,助詞,副助詞,*,*,*,*,ばかし,ばかし,バカシ
てん,273,273,8007,助詞,終助詞,*,*,*,*,てん,てん,テン
より,155,155,5542,助詞,格助詞,一般,*,*,*,より,より,ヨリ
すら,258,258,5294,助詞,係助詞,*,*,*,*,すら,すら,スラ
からには,298,298,5618,助詞,接続助詞,*,*,*,*,からには,からには,カラニワ
ノ,159,159,7011,助詞,格助詞,一般,*,*,*,ノ,の,ノ
のう,283,283,6838,助詞,終助詞,*,*,*,*,のう,のう,ノー
じゃあ,335,335,6238,助詞,副助詞,*,*,*,*,じゃあ,じゃあ,ジャー
ばかり,351,351,4132,助詞,副助詞,*,*,*,*,ばかり,ばかり,バカリ
之,162,162,7969,助詞,格助詞,一般,*,*,*,之,の,ノ
ども,313,313,7559,助詞,接続助詞,*,*,*,*,ども,ども,ドモ
しも,333,333,5949,助詞,副助詞,*,*,*,*,しも,しも,シモ
っと,163,163,8445,助詞,格助詞,引用,*,*,*,っと,っと,ット
なんて,348,348,4411,助詞,副助詞,*,*,*,*,なんて,なんて,ナンテ
っけ,272,272,6184,助詞,終助詞,*,*,*,*,っけ,っけ,ッケ
程,357,357,8354,助詞,副助詞,*,*,*,*,程,ほど,ホド
で,149,149,5781,助詞,格助詞,一般,*,*,*,で,で,デ
から,297,297,5649,助詞,接続助詞,*,*,*,*,から,から,カラ
にて,152,152,5128,助詞,格助詞,一般,*,*,*,にて,にて,ニテ
ので,316,316,4585,助詞,接続助詞,*,*,*,*,ので,ので,ノデ
に,151,151,4304,助詞,格助詞,一般,*,*,*,に,に,ニ
で,274,274,8826,助詞,終助詞,*,*,*,*,で,で,デ
し,304,304,8651,助詞,接続助詞,*,*,*,*,し,し,シ
なんか,346,346,6364,助詞,副助詞,*,*,*,*,なんか,なんか,ナンカ
け,267,267,7511,助詞,終助詞,*,*,*,*,け,け,ケ
ねー,280,280,6161,助詞,終助詞,*,*,*,*,ねー,ねー,ネー
かも,330,330,4923,助詞,副助詞,*,*,*,*,かも,かも,カモ
なり,365,365,7861,助詞,並立助詞,*,*,*,*,なり,なり,ナリ
