δ,4,4,949,淡规,アルファベット,*,*,*,*,δ,でるた,デルタ
∽,7,7,1161,淡规,崇柑誓,*,*,*,*,∽,∽,∽
〗,5,5,3970,淡规,办忍,*,*,*,*,〗,〗,〗
,5,5,1819,淡规,办忍,*,*,*,*,,,
‖,5,5,4977,淡规,办忍,*,*,*,*,‖,‖,‖
《,5,5,5002,淡规,办忍,*,*,*,*,《,《,《
ζ,4,4,949,淡规,アルファベット,*,*,*,*,ζ,ぜ〖た,ゼ〖タ
ω,4,4,949,淡规,アルファベット,*,*,*,*,ω,おめが,オメガ
Η,4,4,949,淡规,アルファベット,*,*,*,*,Η,い〖た,イ〖タ
ε,4,4,949,淡规,アルファベット,*,*,*,*,ε,いぷしろん,イプシロン
ⅵ,5,5,1802,淡规,办忍,*,*,*,*,ⅵ,ⅵ,ⅵ
‘,5,5,1819,淡规,办忍,*,*,*,*,‘,‘,‘
β,4,4,945,淡规,アルファベット,*,*,*,*,β,べ〖た,ベ〖タ
±,5,5,1819,淡规,办忍,*,*,*,*,±,±,±
「,5,5,3912,淡规,办忍,*,*,*,*,「,「,「
°,6,6,1292,淡规,崇柑倡,*,*,*,*,°,°,°
γ,4,4,949,淡规,アルファベット,*,*,*,*,γ,がんま,ガンマ
◎,5,5,1818,淡规,办忍,*,*,*,*,◎,ぽんど,ポンド
ν,4,4,654,淡规,アルファベット,*,*,*,*,ν,にゅ〖,ニュ〖
τ,4,4,949,淡规,アルファベット,*,*,*,*,τ,たう,タウ
★,5,5,1905,淡规,办忍,*,*,*,*,★,えん,エン
χ,4,4,1730,淡规,アルファベット,*,*,*,*,χ,かい,カイ
∨,5,5,1819,淡规,办忍,*,*,*,*,∨,∨,∨
ⅱ,5,5,1818,淡规,办忍,*,*,*,*,ⅱ,ⅱ,ⅱ
≮,6,6,1275,淡规,崇柑倡,*,*,*,*,≮,≮,≮
〈,5,5,2113,淡规,办忍,*,*,*,*,〈,〈,〈
,5,5,1819,淡规,办忍,*,*,*,*,,,
Υ,4,4,949,淡规,アルファベット,*,*,*,*,Υ,うぷしろん,ウプシロン
∈,6,6,2008,淡规,崇柑倡,*,*,*,*,∈,∈,∈
○,5,5,1866,淡规,办忍,*,*,*,*,○,どる,ドル
Π,4,4,969,淡规,アルファベット,*,*,*,*,Π,ぱい,パイ
〗〗,5,5,525,淡规,办忍,*,*,*,*,〗〗,〗〗,〗〗
ⅷ,5,5,1818,淡规,办忍,*,*,*,*,ⅷ,ⅷ,ⅷ
η,4,4,949,淡规,アルファベット,*,*,*,*,η,い〖た,イ〖タ
∵,5,5,-279,淡规,办忍,*,*,*,*,∵,かける,カケル
∵,5,5,6289,淡规,办忍,*,*,*,*,∵,ばい,バイ
∵,5,5,6375,淡规,办忍,*,*,*,*,∵,ばつ,バツ
ξ,4,4,949,淡规,アルファベット,*,*,*,*,ξ,くし〖,クシ〖
『,5,5,1819,淡规,办忍,*,*,*,*,『,『,『
ο,4,4,949,淡规,アルファベット,*,*,*,*,ο,おみくろん,オミクロン
∷,7,7,2055,淡规,崇柑誓,*,*,*,*,∷,∷,∷
Κ,4,4,941,淡规,アルファベット,*,*,*,*,Κ,かっぱ,カッパ
～,5,5,4977,淡规,办忍,*,*,*,*,～,～,～
υ,4,4,949,淡规,アルファベット,*,*,*,*,υ,うぷしろん,ウプシロン
∥,6,6,1282,淡规,崇柑倡,*,*,*,*,∥,∥,∥
Ε,4,4,949,淡规,アルファベット,*,*,*,*,Ε,いぷしろん,イプシロン
【,5,5,1819,淡规,办忍,*,*,*,*,【,【,【
§,5,5,1828,淡规,办忍,*,*,*,*,§,§,§
≌,7,7,1312,淡规,崇柑誓,*,*,*,*,≌,≌,≌
”,5,5,1819,淡规,办忍,*,*,*,*,”,”,”
Θ,4,4,949,淡规,アルファベット,*,*,*,*,Θ,し〖た,シ〖タ
≡,6,6,1298,淡规,崇柑倡,*,*,*,*,≡,≡,≡
Ρ,4,4,1272,淡规,アルファベット,*,*,*,*,Ρ,ろ〖,ロ〖
ｌ,4,4,5731,淡规,アルファベット,*,*,*,*,ｌ,える,エル
,5,5,1843,淡规,办忍,*,*,*,*,,,
》,5,5,1818,淡规,办忍,*,*,*,*,》,》,》
〉,5,5,4977,淡规,办忍,*,*,*,*,〉,〉,〉
Λ,4,4,949,淡规,アルファベット,*,*,*,*,Λ,らむだ,ラムダ
≯,7,7,1294,淡规,崇柑誓,*,*,*,*,≯,≯,≯
⌒,6,6,1300,淡规,崇柑倡,*,*,*,*,⌒,⌒,⌒
θ,4,4,949,淡规,アルファベット,*,*,*,*,θ,し〖た,シ〖タ
ⅶ,5,5,1756,淡规,办忍,*,*,*,*,ⅶ,ⅶ,ⅶ
ⅳ,5,5,1819,淡规,办忍,*,*,*,*,ⅳ,ⅳ,ⅳ
π,4,4,969,淡规,アルファベット,*,*,*,*,π,ぱい,パイ
ａ,4,4,4325,淡规,アルファベット,*,*,*,*,ａ,えい,エイ
※,5,5,1816,淡规,办忍,*,*,*,*,※,※,※
Ｌ,4,4,7541,淡规,アルファベット,*,*,*,*,Ｌ,える,エル
≥≥,5,5,611,淡规,办忍,*,*,*,*,≥≥,≥≥,≥≥
〓,5,5,1806,淡规,办忍,*,*,*,*,〓,〓,〓
≤,5,5,743,淡规,办忍,*,*,*,*,≤,たす,タス
≤,5,5,2759,淡规,办忍,*,*,*,*,≤,ぷらす,プラス
÷,5,5,1819,淡规,办忍,*,*,*,*,÷,÷,÷
∧,5,5,-2279,淡规,办忍,*,*,*,*,∧,∧,∧
ｎ,4,4,5871,淡规,アルファベット,*,*,*,*,ｎ,えぬ,エヌ
∩,7,7,1306,淡规,崇柑誓,*,*,*,*,∩,∩,∩
∶,5,5,1819,淡规,办忍,*,*,*,*,∶,∶,∶
Χ,4,4,1730,淡规,アルファベット,*,*,*,*,Χ,かい,カイ
ˇ,5,5,-807,淡规,办忍,*,*,*,*,ˇ,ˇ,ˇ
ⅹ,5,5,1818,淡规,办忍,*,*,*,*,ⅹ,ⅹ,ⅹ
∑,6,6,1300,淡规,崇柑倡,*,*,*,*,∑,∑,∑
Ψ,4,4,949,淡规,アルファベット,*,*,*,*,Ψ,ぷさい,プサイ
⊙,7,7,1313,淡规,崇柑誓,*,*,*,*,⊙,⊙,⊙
